lang,dset,mattr,mtld,msttr
bug,Wikipedia,0.7980769231,28.60677613,0.8012411256
bug,NusaWriting,0.9051178525,75.99401103,0.8987034675
bug,NusaTranslation,0,0,0
mad,Wikipedia,0.8988140162,67.20860274,0.9105786982
mad,NusaWriting,0.9112244898,73.29579526,0.9029199023
mad,NusaTranslation,0.9222222222,71.4875271,0.9217503218
jav,Wikipedia,0.8917724203,58.93639993,0.8974366571
jav,NusaWriting,0.893373494,58.15480338,0.8839220409
jav,NusaTranslation,0.9262531328,72.576,0.9246031746
min,Wikipedia,0.9423076923,80.864,0.924249531
min,NusaWriting,0.9095916667,73.36580305,0.9024878768
min,NusaTranslation,0.9215838509,68.72444444,0.921709001
sun,Wikipedia,0.9447368421,70.11990435,0.9025917506
sun,NusaWriting,0.9128981538,79.89629453,0.9085187111
sun,NusaTranslation,0.9214285714,68.72444444,0.919458026
